"filename", "language", "Less", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "TypeScript React", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"d:\qsa2020\04_pc\myapp\.eslintrc.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\qsa2020\04_pc\myapp\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 23
"d:\qsa2020\04_pc\myapp\.prettierrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\qsa2020\04_pc\myapp\.stylelintrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\qsa2020\04_pc\myapp\README.md", "Markdown", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 22, 58
"d:\qsa2020\04_pc\myapp\config\config.dev.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 2, 20
"d:\qsa2020\04_pc\myapp\config\config.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 11, 3, 60
"d:\qsa2020\04_pc\myapp\config\defaultSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\qsa2020\04_pc\myapp\config\proxy.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 7, 1, 48
"d:\qsa2020\04_pc\myapp\config\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 10, 4, 382
"d:\qsa2020\04_pc\myapp\jest.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\qsa2020\04_pc\myapp\jsconfig.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"d:\qsa2020\04_pc\myapp\mock\listTableList.ts", "TypeScript", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 3, 15, 172
"d:\qsa2020\04_pc\myapp\mock\notices.ts", "TypeScript", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 3, 108
"d:\qsa2020\04_pc\myapp\mock\route.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\mock\user.ts", "TypeScript", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 8, 9, 201
"d:\qsa2020\04_pc\myapp\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 108
"d:\qsa2020\04_pc\myapp\public\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\qsa2020\04_pc\myapp\public\pro_icon.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\qsa2020\04_pc\myapp\src\access.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"d:\qsa2020\04_pc\myapp\src\app.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 30, 13, 179
"d:\qsa2020\04_pc\myapp\src\components\CheckButton\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 4, 140
"d:\qsa2020\04_pc\myapp\src\components\DelPopconfirm\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\qsa2020\04_pc\myapp\src\components\DelPopconfirm\next.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\qsa2020\04_pc\myapp\src\components\Footer\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 27, 2, 120
"d:\qsa2020\04_pc\myapp\src\components\GlobalWrapper\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\qsa2020\04_pc\myapp\src\components\HeaderDropdown\index.less", "Less", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\qsa2020\04_pc\myapp\src\components\HeaderDropdown\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\qsa2020\04_pc\myapp\src\components\HeaderSearch\index.less", "Less", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\qsa2020\04_pc\myapp\src\components\HeaderSearch\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 9, 91
"d:\qsa2020\04_pc\myapp\src\components\NoticeIcon\NoticeIcon.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 10, 127
"d:\qsa2020\04_pc\myapp\src\components\NoticeIcon\NoticeList.less", "Less", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 104
"d:\qsa2020\04_pc\myapp\src\components\NoticeIcon\NoticeList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 1, 5, 114
"d:\qsa2020\04_pc\myapp\src\components\NoticeIcon\index.less", "Less", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\qsa2020\04_pc\myapp\src\components\NoticeIcon\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 19, 153
"d:\qsa2020\04_pc\myapp\src\components\RightContent\AvatarDropdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 4, 12, 107
"d:\qsa2020\04_pc\myapp\src\components\RightContent\index.less", "Less", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\qsa2020\04_pc\myapp\src\components\RightContent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"d:\qsa2020\04_pc\myapp\src\components\SearchTreeList\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\qsa2020\04_pc\myapp\src\components\SysInfo\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"d:\qsa2020\04_pc\myapp\src\components\index.md", "Markdown", 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 30, 271
"d:\qsa2020\04_pc\myapp\src\components\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 55
"d:\qsa2020\04_pc\myapp\src\e2e\baseLayout.e2e.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
